"File_Name" "Network_Group_Name" "Network_Name" "Source" "Pubmed_ID"
"211" "Co-expression.Moffatt-Cookson-2007.txt" "Co-expression" "Moffatt-Cookson-2007" "GEO" 17611496
"212" "Co-expression.Mraz-Kipps-2014.txt" "Co-expression" "Mraz-Kipps-2014" "GEO" 24787006
"213" "Co-expression.Mullighan-Downing-2009.txt" "Co-expression" "Mullighan-Downing-2009" "GEO" 19129520
"214" "Co-expression.Naesens-Sarwal-2011.txt" "Co-expression" "Naesens-Sarwal-2011" "GEO" 21881554
"215" "Co-expression.Nair-Abecasis-2009.txt" "Co-expression" "Nair-Abecasis-2009" "GEO" 19169254
"216" "Co-expression.Nakamura-Takeuchi-2016.txt" "Co-expression" "Nakamura-Takeuchi-2016" "GEO" 27435242
"217" "Co-expression.Nakayama-Hasegawa-2007.txt" "Co-expression" "Nakayama-Hasegawa-2007" "GEO" 17464315
"218" "Co-expression.Newman-Radeke-2012.txt" "Co-expression" "Newman-Radeke-2012" "GEO" 22364233
"219" "Co-expression.Niu-Wang-2010.txt" "Co-expression" "Niu-Wang-2010" "GEO" 20923822
"220" "Co-expression.Noble-Diehl-2010.txt" "Co-expression" "Noble-Diehl-2010" "GEO" 20848455
"221" "Co-expression.Nookaew-Carlsson-2013.txt" "Co-expression" "Nookaew-Carlsson-2013" "GEO" 23264395
"222" "Co-expression.Okayama-Yokota-2012.txt" "Co-expression" "Okayama-Yokota-2012" "GEO" 22080568
"223" "Co-expression.Olmos-de_Bono-2012.txt" "Co-expression" "Olmos-de Bono-2012" "GEO" 23059046
"224" "Co-expression.Ong-Howell-2009.txt" "Co-expression" "Ong-Howell-2009" "GEO" 19656771
"225" "Co-expression.Ooi-Tan-2009.txt" "Co-expression" "Ooi-Tan-2009" "GEO" 19798449
"226" "Co-expression.Pajtler-Pfister-2015.txt" "Co-expression" "Pajtler-Pfister-2015" "GEO" 25965575
"227" "Co-expression.Papapanou-Demmer-2009.txt" "Co-expression" "Papapanou-Demmer-2009" "GEO" 19835625
